"","x"
"1",-6254.04651000937
"2",-6299.73072633002
"3",-6224.96509310632
"4",-6235.80414542071
"5",-6274.1225042046
"6",-6155.36345858964
"7",-6343.82584095965
"8",-6243.02527665271
"9",-6188.67528519884
"10",-6220.83923765811
"11",-5083.91070815236
"12",-5165.12103888328
"13",-5122.92703474658
"14",-5183.69227545092
"15",-5037.23281430775
"16",-5155.52152716092
"17",-5121.78670958776
"18",-5138.79260583807
"19",-5067.03661869076
"20",-5114.98932004478
"21",-4576.88551310489
"22",-4532.33048316639
"23",-4605.73413879498
"24",-4569.07153762357
"25",-4616.55127426366
"26",-4552.12350363557
"27",-4584.6405348228
"28",-4572.85518039928
"29",-4582.16540029021
"30",-4496.57392921257
"31",-4224.14758577426
"32",-4221.78341189559
"33",-4168.00957204917
"34",-4205.90052223037
"35",-4219.87931623836
"36",-4229.44746092191
"37",-4180.48074246889
"38",-4266.96613445327
"39",-4190.17337430522
"40",-4231.77628270669
"41",-3927.67374322567
"42",-4065.57396631357
"43",-3925.00309053775
"44",-3989.86624053414
"45",-3960.08397076623
"46",-3992.57321691693
"47",-3951.39070058642
"48",-3956.69968907888
"49",-4036.582111207
"50",-3932.7089280636
"51",-3825.46450409382
"52",-3726.43589120246
"53",-3853.43078486105
"54",-3811.14168670815
"55",-3835.43088224851
"56",-3802.84021694344
"57",-3797.4955550078
"58",-3801.71466993997
"59",-3796.7816850436
"60",-3843.12171908866
"61",-3679.31706472582
"62",-3678.37605969505
"63",-3683.83230794589
"64",-3621.78263024516
"65",-3678.73415714112
"66",-3673.87444142365
"67",-3651.47151131496
"68",-3659.09271878139
"69",-3639.77171629945
"70",-3701.69572824627
"71",-3583.68166057424
"72",-3579.84036114844
"73",-3494.57888835365
"74",-3538.46299109088
"75",-3538.26474769701
"76",-3590.516465547
"77",-3580.31010668225
"78",-3631.56050530267
"79",-3623.15416140086
"80",-3587.19892463919
"81",-3512.46691142452
"82",-3474.63700952772
"83",-3477.66821346684
"84",-3443.02813974787
"85",-3534.58815836156
"86",-3483.03673064822
"87",-3483.68446978272
"88",-3506.6447114349
"89",-3435.86713271182
"90",-3484.85823639244
"91",-3418.08622388709
"92",-3437.76046196332
"93",-3419.6068836959
"94",-3413.09155163778
"95",-3429.21155648806
"96",-3394.43648295282
"97",-3448.77392004541
"98",-3474.37441824236
"99",-3459.4037140534
"100",-3456.19180404105
"101",-3359.32613139826
"102",-3367.4862933896
"103",-3360.77245408108
"104",-3386.99750220095
"105",-3340.6970936095
"106",-3385.96578997032
"107",-3350.74181045172
"108",-3409.55586646892
"109",-3304.53740308794
"110",-3376.52721101378
"111",-3369.84086170138
"112",-3336.27018281566
"113",-3364.04355099428
"114",-3345.21362745935
"115",-3358.98019926362
"116",-3332.76665233676
"117",-3324.0398649819
"118",-3313.37393526648
"119",-3319.09816569567
"120",-3360.44569683328
"121",-3285.64931597516
"122",-3298.86939427722
"123",-3315.67866652298
"124",-3303.48169671359
"125",-3278.66499694438
"126",-3302.46442985132
"127",-3271.01956708365
"128",-3264.91407140381
"129",-3286.27264714282
"130",-3284.26281602379
"131",-3257.14651967794
"132",-3210.20186788704
"133",-3257.88064650236
"134",-3267.8409452768
"135",-3243.43933294423
"136",-3257.47497039921
"137",-3232.50632226356
"138",-3255.03399254624
"139",-3272.07625869098
"140",-3255.51816662625
"141",-3209.75614260809
"142",-3243.25360537308
"143",-3257.75417832923
"144",-3228.79367258553
"145",-3207.68492518926
"146",-3252.30032490503
"147",-3219.14585820332
"148",-3211.29416854563
"149",-3221.01544022269
"150",-3223.7697642999
"151",-3198.86196095857
