"","x"
"1",-4875.88642473255
"2",-4871.6954754844
"3",-4872.96333294586
"4",-4878.3415952969
"5",-4880.95432017045
"6",-4872.04546341583
"7",-4878.63710851394
"8",-4878.31850878944
"9",-4869.87922575838
"10",-4875.6281930686
"11",-4807.51194237603
"12",-4810.93618676612
"13",-4812.50642163988
"14",-4814.64827947549
"15",-4813.75637003964
"16",-4810.57033707612
"17",-4814.21251911068
"18",-4811.5525834663
"19",-4807.7877829015
"20",-4805.97141399305
"21",-4772.13300660822
"22",-4778.22245355437
"23",-4779.77051531502
"24",-4778.60479139658
"25",-4779.48785024002
"26",-4776.39185260666
"27",-4777.2345629955
"28",-4775.89817570247
"29",-4773.78226100048
"30",-4776.20064222639
"31",-4754.45450582986
"32",-4755.63416010074
"33",-4749.03077262244
"34",-4763.41627203463
"35",-4758.69896843215
"36",-4757.09249349856
"37",-4756.26075405142
"38",-4755.09618712489
"39",-4761.09274872553
"40",-4755.32190234879
"41",-4744.41992423438
"42",-4743.33447562638
"43",-4742.91896536212
"44",-4743.54588591944
"45",-4742.97898632165
"46",-4746.52180619536
"47",-4746.1919294183
"48",-4739.60225002723
"49",-4746.51907643576
"50",-4744.89148165702
"51",-4740.00664570139
"52",-4738.10748124042
"53",-4735.91333181252
"54",-4739.67833152856
"55",-4731.19354340524
"56",-4733.44126163095
"57",-4736.17083582994
"58",-4735.94956054284
"59",-4734.40866300184
"60",-4733.91422197757
"61",-4734.72590184316
"62",-4730.15433656375
"63",-4732.72600030866
"64",-4729.18740483644
"65",-4732.39897341952
"66",-4731.80192705395
"67",-4731.94411271823
"68",-4734.63757880239
"69",-4734.3998155484
"70",-4735.7724564551
"71",-4731.59111305327
"72",-4734.40238835333
"73",-4730.69144093692
"74",-4731.03062745803
"75",-4734.02992211678
"76",-4727.84411919574
"77",-4728.85818965263
"78",-4729.96912900421
"79",-4730.04143224492
"80",-4724.80710934801
"81",-4732.63097965079
"82",-4728.80468915724
"83",-4729.52574805757
"84",-4730.6940567798
"85",-4730.37074286709
"86",-4732.34327454199
"87",-4730.3545711599
"88",-4728.96671484582
"89",-4732.95191936673
"90",-4728.31356062775
"91",-4733.1163477801
"92",-4730.65940836356
"93",-4730.91479206276
"94",-4735.14165319776
"95",-4734.4013049129
"96",-4732.48013955204
"97",-4733.98273888295
"98",-4731.49054932148
"99",-4735.04948776764
"100",-4733.57255820673
"101",-4738.80644782113
"102",-4738.62455956708
"103",-4737.6874375998
"104",-4735.80996338489
"105",-4737.41203768098
"106",-4730.2857062312
"107",-4735.44486337492
"108",-4733.31309551251
"109",-4731.61909394505
"110",-4731.81952297839
"111",-4737.0485483093
"112",-4734.97498849452
"113",-4734.83628955136
"114",-4740.46165935516
"115",-4737.0151648372
"116",-4737.64510564743
"117",-4740.71708871952
"118",-4738.19267280657
"119",-4737.497531368
"120",-4739.33914832546
"121",-4743.21000631022
"122",-4739.81544569659
"123",-4746.20761172876
"124",-4741.90422454571
"125",-4740.23361129665
