"","x"
"1",-3481.28264910711
"2",-3449.52096820137
"3",-3463.41694808448
"4",-3435.32577946022
"5",-3476.74546277482
"6",-3459.58054247188
"7",-3456.69180307541
"8",-3432.49491405778
"9",-3452.30642091761
"10",-3447.94436227865
"11",-3298.30716445541
"12",-3294.59690785985
"13",-3300.33985831587
"14",-3294.90101910675
"15",-3300.52636698863
"16",-3305.28994252068
"17",-3302.16756583352
"18",-3300.17760829462
"19",-3300.19500163128
"20",-3292.10255836222
"21",-3250.06309200098
"22",-3245.0338525394
"23",-3249.32351641061
"24",-3246.34938633615
"25",-3247.95546794586
"26",-3249.96497985865
"27",-3254.33991515498
"28",-3252.37661722714
"29",-3257.03817488059
"30",-3254.07903452119
"31",-3235.96139407814
"32",-3232.87382775728
"33",-3231.79183487749
"34",-3230.26403888392
"35",-3233.37830912759
"36",-3230.61286407227
"37",-3232.40386361206
"38",-3230.05071024118
"39",-3225.63215315032
"40",-3227.91709801159
"41",-3224.0043684659
"42",-3220.41095708147
"43",-3223.95991522286
"44",-3222.73463580263
"45",-3225.65148687056
"46",-3221.12490601367
"47",-3222.40024662854
"48",-3221.79767136689
"49",-3226.10869434536
"50",-3222.48567411318
"51",-3220.953816494
"52",-3219.70093535213
"53",-3223.15898593231
"54",-3220.15960229647
"55",-3222.01458113443
"56",-3221.58265403484
"57",-3219.5523072255
"58",-3219.84301768824
"59",-3220.90245941553
"60",-3221.80170553451
"61",-3217.58310873967
"62",-3219.64393760792
"63",-3224.50807353531
"64",-3224.4380335239
"65",-3220.33152801868
"66",-3220.53788803759
"67",-3222.31883174996
"68",-3222.65303559553
"69",-3219.84276063233
"70",-3220.46140985697
"71",-3221.17547105656
"72",-3220.58292767143
"73",-3220.97506410518
"74",-3224.27903240774
"75",-3224.3806315541
"76",-3222.57011360317
"77",-3223.97183739823
"78",-3222.0476584783
"79",-3222.13434402291
"80",-3221.92398578191
"81",-3228.45675255749
"82",-3227.86513398245
"83",-3226.93545519096
"84",-3227.73073223774
"85",-3227.63802866662
"86",-3225.06764729343
"87",-3227.12128721354
"88",-3228.3660643926
"89",-3226.91031353602
"90",-3225.72042886276
"91",-3233.48425579874
"92",-3230.95158029801
"93",-3230.80544957983
"94",-3231.14195712043
"95",-3230.6752502384
"96",-3229.7125226309
"97",-3229.42633673458
"98",-3232.00793047561
"99",-3231.71785273301
"100",-3230.8562486694
"101",-3235.67104149429
"102",-3233.3056103056
"103",-3235.76593022727
"104",-3234.21031617412
"105",-3234.6234944052
"106",-3234.32757044033
"107",-3234.31184250505
"108",-3233.92558232337
"109",-3236.38378036293
"110",-3234.11267409594
"111",-3237.8727362635
"112",-3240.51891702849
"113",-3239.82829543091
"114",-3240.75369635988
"115",-3240.31201481639
"116",-3240.2478047958
"117",-3238.57205601323
"118",-3240.88047014372
"119",-3239.9411888664
"120",-3240.06402771434
"121",-3244.79158491709
"122",-3243.74101298426
"123",-3244.43704112999
"124",-3246.17982770128
"125",-3245.10487758129
"126",-3242.6008052794
"127",-3243.1445070208
