"","x"
"1",-4372.95999964225
"2",-4377.52777549754
"3",-4388.08348221048
"4",-4383.81961655166
"5",-4384.57017122731
"6",-4380.23128958829
"7",-4383.14048236708
"8",-4371.80051595396
"9",-4394.22861371006
"10",-4374.41811814677
"11",-4199.63246059544
"12",-4209.66193985381
"13",-4204.81536894759
"14",-4207.65022900289
"15",-4219.38057145265
"16",-4212.39910228731
"17",-4215.75066819077
"18",-4199.25358036514
"19",-4211.05118807786
"20",-4203.73575719884
"21",-4153.36654365193
"22",-4151.77465228229
"23",-4156.75854676859
"24",-4151.50230863249
"25",-4146.07078626953
"26",-4150.89056683096
"27",-4153.70820621937
"28",-4156.10131163373
"29",-4155.81294500324
"30",-4148.51170089759
"31",-4127.49778898806
"32",-4128.50430521772
"33",-4125.58882863916
"34",-4130.76759126217
"35",-4123.53083651898
"36",-4129.00545003711
"37",-4128.26726581179
"38",-4127.77850168165
"39",-4128.73160043987
"40",-4126.1345715995
"41",-4117.60142545386
"42",-4117.19075589445
"43",-4113.13930514589
"44",-4113.75360868824
"45",-4118.73856115822
"46",-4114.85484064523
"47",-4112.88423297287
"48",-4114.36157302421
"49",-4118.68333068868
"50",-4110.73352500992
"51",-4111.56076845707
"52",-4109.87661044917
"53",-4112.78225656011
"54",-4110.51525700796
"55",-4112.49911003007
"56",-4111.15890744469
"57",-4109.05930176945
"58",-4108.74892830941
"59",-4111.84246379082
"60",-4113.044883955
"61",-4110.07107262403
"62",-4108.57005418414
"63",-4112.11044506634
"64",-4107.20938520172
"65",-4106.39476975323
"66",-4109.21397332041
"67",-4111.87391372447
"68",-4110.33083264474
"69",-4108.97186150052
"70",-4106.26454096296
"71",-4111.15912089875
"72",-4109.43211425124
"73",-4108.46927768391
"74",-4109.30040560522
"75",-4109.47084213242
"76",-4108.54792479264
"77",-4108.57350752643
"78",-4112.29187805317
"79",-4113.50546143324
"80",-4111.53278278144
"81",-4112.50044779487
"82",-4110.34707201164
"83",-4111.03424088639
"84",-4112.14332953208
"85",-4111.34453497017
"86",-4112.18961941844
"87",-4113.07174787026
"88",-4111.6262707795
"89",-4108.23101752496
"90",-4114.22574468728
"91",-4115.3122069908
"92",-4114.34481241485
"93",-4115.60019845334
"94",-4114.87008941013
"95",-4113.88004932441
"96",-4115.7563523819
"97",-4112.1973310445
"98",-4114.89226906922
"99",-4116.02820585012
"100",-4118.0025109572
"101",-4119.40871707999
"102",-4118.2714451137
"103",-4119.50178743428
"104",-4117.28954886138
"105",-4121.30160141515
"106",-4119.29338804103
"107",-4119.20844241447
"108",-4119.03643956356
"109",-4121.73649313817
"110",-4117.23521438698
"111",-4121.02899431166
"112",-4124.42655255941
"113",-4122.91522623171
"114",-4119.97456323467
"115",-4121.83906069372
"116",-4123.49514135284
"117",-4122.07121845565
"118",-4124.38689147924
"119",-4122.51249553398
"120",-4122.35901871483
"121",-4130.21608569087
"122",-4128.06726619968
"123",-4129.29426026335
"124",-4129.22533932603
"125",-4127.44215909493
"126",-4130.54551621449
"127",-4127.66271301733
"128",-4129.11951203094
"129",-4129.20864313124
"130",-4130.83729730478
"131",-4131.70118759496
"132",-4135.3923024134
"133",-4132.47454326456
"134",-4130.9397259808
"135",-4132.73065841937
"136",-4130.68417138323
"137",-4131.39372629827
"138",-4131.67914014379
"139",-4133.4502713121
"140",-4133.66606512542
"141",-4139.98339126518
"142",-4136.36038415202
