"","x"
"1",-5114.1346070973
"2",-5069.24832439042
"3",-5145.30371938861
"4",-5086.02554593344
"5",-5101.0453375673
"6",-5107.7559129354
"7",-5129.78376502524
"8",-5114.10960415128
"9",-5094.46282112482
"10",-5131.2457395063
"11",-4429.74127728977
"12",-4458.07068482588
"13",-4427.15005516136
"14",-4402.3237731738
"15",-4453.17517066242
"16",-4466.88751052878
"17",-4398.7055333266
"18",-4431.58309417843
"19",-4416.13518050452
"20",-4385.73145799662
"21",-4123.89396652846
"22",-4056.99120579342
"23",-4042.42251077932
"24",-4092.5462602823
"25",-4099.54158096805
"26",-4096.8798871753
"27",-4117.21228102398
"28",-4040.67967554343
"29",-4080.73480932293
"30",-4013.07730758592
"31",-3800.19626778415
"32",-3808.82598651336
"33",-3806.97313368857
"34",-3839.29461424069
"35",-3812.82765979445
"36",-3801.62178989378
"37",-3784.2209947755
"38",-3861.05656752334
"39",-3861.72394289352
"40",-3812.35280217455
"41",-3664.31685641475
"42",-3691.47432038732
"43",-3669.55369559631
"44",-3669.15302975624
"45",-3664.12642484653
"46",-3644.66496958043
"47",-3707.66505690219
"48",-3645.18513217602
"49",-3664.26290005974
"50",-3698.50433851143
"51",-3603.66434594252
"52",-3587.273570385
"53",-3602.17110844788
"54",-3595.49584531653
"55",-3588.50924276341
"56",-3544.1603800477
"57",-3564.99741936461
"58",-3549.90118722707
"59",-3560.93361888699
"60",-3551.12864789377
"61",-3469.72528737836
"62",-3423.94526686908
"63",-3477.21821535269
"64",-3495.44753420503
"65",-3471.22874015405
"66",-3454.54866857529
"67",-3466.71360965291
"68",-3508.61411542058
"69",-3480.45767386414
"70",-3479.2156089446
"71",-3399.22698698202
"72",-3399.39125461186
"73",-3411.41084419884
"74",-3378.30141997558
"75",-3415.61148806238
"76",-3397.6919224767
"77",-3448.81798160657
"78",-3392.01998795198
"79",-3372.80069310706
"80",-3395.10187536187
"81",-3322.5792581773
"82",-3334.48500091334
"83",-3368.44168270664
"84",-3322.72845529248
"85",-3303.30180046097
"86",-3342.92309387537
"87",-3336.07739404799
"88",-3353.11640930582
"89",-3334.4144377225
"90",-3324.82269840498
"91",-3288.25497887183
"92",-3333.03779945954
"93",-3347.11735385706
"94",-3308.66667688574
"95",-3321.79030012974
"96",-3302.85988219197
"97",-3293.63777199953
"98",-3243.76599387378
"99",-3298.81322926257
"100",-3305.87014328721
"101",-3277.49958978465
"102",-3292.80027449537
"103",-3288.41355080131
"104",-3274.31644839002
"105",-3279.16750711035
"106",-3264.64370157777
"107",-3270.17354918172
"108",-3261.08310631615
"109",-3319.63754716875
"110",-3247.65841645353
"111",-3227.18463926308
"112",-3209.45670787108
"113",-3257.48212616197
"114",-3242.98859884224
"115",-3266.72399735673
"116",-3222.85523328707
"117",-3228.38674188441
"118",-3239.79361844221
"119",-3236.99979048024
"120",-3219.75570256755
"121",-3216.15358861627
"122",-3211.6573929566
"123",-3204.10776335896
"124",-3225.06315464157
"125",-3207.42580251809
"126",-3204.62223023049
"127",-3186.06782200157
"128",-3178.76976344707
"129",-3203.49297385939
"130",-3205.14465297362
"131",-3177.98876236698
"132",-3191.695444888
"133",-3188.78218623669
"134",-3183.34185979086
"135",-3180.80970293268
"136",-3161.02713652951
"137",-3189.3345092039
"138",-3188.78348964947
"139",-3206.85742265477
"140",-3194.48378591892
"141",-3155.04697552364
"142",-3182.89416328924
"143",-3174.41573836883
"144",-3171.37882573232
"145",-3173.73664653316
"146",-3145.84548405956
"147",-3164.60724600191
"148",-3163.98735297705
"149",-3173.49958534859
"150",-3167.08254793181
"151",-3135.04451446977
"152",-3136.87970514434
"153",-3139.88355239978
"154",-3099.75761164162
"155",-3158.46002549296
"156",-3132.92241180556
"157",-3125.55402138294
"158",-3130.03737812374
"159",-3162.55231917498
"160",-3134.3892719314
"161",-3138.01855017331
"162",-3107.05111398942
"163",-3119.01222514629
"164",-3142.18629711924
"165",-3130.30970558461
"166",-3118.87157258182
"167",-3114.92991146388
"168",-3107.84945916135
"169",-3134.79108643532
"170",-3129.71486606601
"171",-3112.93897794172
"172",-3091.66675962389
"173",-3094.16395572907
"174",-3101.29292913684
"175",-3120.09811692542
"176",-3118.31768584485
"177",-3102.12335802306
"178",-3094.89933746922
"179",-3111.71129299382
"180",-3116.58757346673
"181",-3088.22485399509
"182",-3085.98176562297
"183",-3088.35557841277
"184",-3068.75406791931
"185",-3115.02381442011
"186",-3090.16497818841
"187",-3098.80420400532
"188",-3103.96642967763
"189",-3093.28633577584
"190",-3091.67411485685
"191",-3092.7385189729
"192",-3067.49176256531
"193",-3088.37273803045
"194",-3091.67279176101
"195",-3059.87806936556
"196",-3079.17109496498
"197",-3090.66903822624
"198",-3068.68562113056
"199",-3096.35132403348
"200",-3075.21204253275
"201",-3063.65220336249
"202",-3083.25479395452
"203",-3094.44977738979
"204",-3072.57788013054
"205",-3090.12371227878
"206",-3069.19339884514
"207",-3067.59922740556
"208",-3076.89589482989
"209",-3052.53503310928
"210",-3081.40375915114
"211",-3060.88343165164
"212",-3043.1946369305
"213",-3072.08434431553
"214",-3092.05175926944
"215",-3089.99519495688
"216",-3058.294005684
"217",-3078.2583942833
"218",-3067.2094129429
"219",-3058.66515050473
"220",-3075.63142539676
"221",-3059.50906283805
"222",-3075.53837011805
"223",-3036.64227579386
"224",-3059.86812373128
"225",-3073.68108403277
"226",-3067.49884619697
"227",-3070.15478884254
"228",-3047.91957714494
"229",-3048.85407484736
"230",-3042.1957528025
"231",-3038.50438429884
"232",-3052.53234960864
"233",-3015.75538408128
"234",-3046.4557360892
"235",-3054.24664221724
"236",-3025.39713430653
"237",-3026.22389918545
"238",-3048.46339270099
"239",-3059.02354104475
"240",-3037.89625651846
"241",-3038.4384530666
"242",-3028.59485274486
"243",-3024.3129259463
"244",-3064.69195261201
"245",-3043.14782197951
"246",-3041.45708224472
"247",-3057.51489791087
"248",-3043.44315785217
"249",-3037.73833094548
"250",-3033.86908730497
"251",-3037.77218564744
"252",-3032.95414857388
"253",-3016.71352964433
"254",-3035.81369657243
"255",-3034.88810114636
"256",-3029.12352659643
"257",-3038.97388184438
"258",-3041.91195506625
"259",-3072.72004755191
"260",-3043.57133414855
"261",-3032.70608587363
"262",-3014.97946466843
"263",-3042.62570334815
"264",-3022.91773542452
"265",-3024.58532745507
"266",-3024.44174044972
"267",-3022.7436976118
"268",-3045.6304464303
"269",-3046.18314688613
"270",-3004.10273069603
"271",-3016.22474121637
"272",-3022.20418317982
"273",-3028.71340543598
"274",-3022.60985544538
"275",-2988.38509867005
"276",-3011.79017085836
"277",-3009.2688366107
"278",-3027.57333732488
"279",-3027.8621782269
"280",-3019.30254365688
"281",-2994.92935936994
"282",-2997.86541406982
"283",-3007.38017320057
"284",-3009.81727843472
"285",-3023.80674539432
"286",-3043.67376102946
"287",-3030.32346062189
"288",-3007.37419898171
"289",-2997.92544670608
"290",-3023.35151323686
"291",-2969.94845384261
"292",-3033.93949160833
"293",-3018.14617406105
"294",-3016.93811698856
"295",-3019.46078123577
"296",-3003.58483652431
"297",-3013.2986743194
"298",-3028.98226544639
"299",-3001.24171991949
"300",-2989.88300885639
"301",-2991.86749550185
"302",-2998.42183633559
"303",-3023.47075488014
"304",-2999.35400957463
"305",-3001.279648881
"306",-3001.5838190765
"307",-2995.20535730324
"308",-3016.90256154692
"309",-3007.01141159318
"310",-2992.21264268171
"311",-3014.09717588332
"312",-3000.34774003865
"313",-2984.01133894703
"314",-2988.33278872133
"315",-3005.80872760936
"316",-2984.94733590503
"317",-2989.95308299632
"318",-3004.23916298205
"319",-2986.5059414106
"320",-3007.18939698797
"321",-2995.52663024689
"322",-3011.42608212226
"323",-2993.99247095508
"324",-2992.46080867597
"325",-2989.79110016001
"326",-2986.30509835872
"327",-2989.38370337243
"328",-3003.72411223972
"329",-2989.00084375861
"330",-3005.35246700159
"331",-2993.28184941515
"332",-2988.76025565001
"333",-2983.44394256647
"334",-2998.21240875595
"335",-2964.99186905821
"336",-2985.1064764331
"337",-3001.43909981683
"338",-3001.76431023601
"339",-2992.75475668704
"340",-2988.06592352589
"341",-2976.64041170184
"342",-2967.91968243853
"343",-2984.85268723397
"344",-2971.35682227357
"345",-2967.31328570806
"346",-3000.74880535474
"347",-2989.96894381091
"348",-2993.95750876967
"349",-2965.19261412521
"350",-2978.81394895106
"351",-2986.71750177205
"352",-2982.14966260088
"353",-2989.09837756544
"354",-2989.45975970323
"355",-2976.01228413711
"356",-2981.75858399416
"357",-2984.53628681874
"358",-2987.69078116476
"359",-2973.56871658677
"360",-2967.94600552608
"361",-2940.61591566648
"362",-2955.55456366402
"363",-2972.08631547631
"364",-2958.18580229223
"365",-2992.23077075266
"366",-2985.41061460578
"367",-2976.12447651542
"368",-2995.16018890326
"369",-2963.21783583321
"370",-2957.39398730164
"371",-2965.06027426921
"372",-2968.16624952944
"373",-2990.42398327625
"374",-2971.03661869136
"375",-2972.54045777455
"376",-2976.8139062403
"377",-2976.37667812324
"378",-2969.50551742117
"379",-2956.2420836626
"380",-2978.40729364242
"381",-2958.65479427071
"382",-2983.32121077207
"383",-2983.45369241343
"384",-2968.43247735886
"385",-2960.23714876171
"386",-2977.45267069906
"387",-2975.08188957543
"388",-2989.20267192203
"389",-2976.41984496277
"390",-2990.48843011261
"391",-2980.5648493943
"392",-2973.12578021399
"393",-2949.96898706739
"394",-2980.11949958171
"395",-2975.68804518071
"396",-2969.44017536383
"397",-2985.34049090679
"398",-2964.00634601619
"399",-2982.80437499984
"400",-2962.16670988305
"401",-2962.58747054531
"402",-2978.54037662286
"403",-2953.50909661549
"404",-2949.97497720558
"405",-2961.5310504235
"406",-2964.00605339062
"407",-2972.42967557731
"408",-2960.92824666894
"409",-2978.35283407691
