"","x"
"1",-3154.43718262713
"2",-3171.94454309737
"3",-3152.50884789138
"4",-3144.38568363948
"5",-3156.38008260786
"6",-3166.58096345826
"7",-3154.89532469798
"8",-3157.25086134174
"9",-3152.08554920432
"10",-3143.44930757957
"11",-3067.08338145811
"12",-3069.10893315795
"13",-3070.40893429884
"14",-3064.70968698732
"15",-3071.08363995524
"16",-3077.58881213548
"17",-3066.23683671635
"18",-3064.74045805989
"19",-3063.08350150388
"20",-3058.65585054841
"21",-3020.65682348397
"22",-3032.26451573334
"23",-3022.4030320734
"24",-3032.1931836642
"25",-3032.62956518327
"26",-3024.00047233017
"27",-3022.36509722642
"28",-3027.46412482143
"29",-3020.10790095046
"30",-3015.68976124419
"31",-3000.84463612382
"32",-3001.73373337285
"33",-2999.22938538154
"34",-2999.0094355564
"35",-3003.47655752248
"36",-3006.44457536624
"37",-3000.52945360368
"38",-3001.10010584978
"39",-2998.67695844216
"40",-3004.14844754586
"41",-2989.01374915038
"42",-2989.16046834817
"43",-2991.22732995811
"44",-2981.98171075892
"45",-2986.50415221804
"46",-2984.38713549812
"47",-2983.20815297221
"48",-2980.88394713946
"49",-2987.88256349352
"50",-2987.26170448954
"51",-2978.51017770413
"52",-2976.83010900583
"53",-2977.3721136167
"54",-2977.71544634349
"55",-2976.66800686977
"56",-2984.27010416203
"57",-2982.39594574833
"58",-2979.45366834212
"59",-2981.6081822829
"60",-2980.75976403897
"61",-2976.13639767358
"62",-2969.98180590791
"63",-2976.71776982449
"64",-2973.73361971327
"65",-2972.38860936306
"66",-2974.92754428433
"67",-2971.71666927057
"68",-2970.84858725764
"69",-2973.39308351077
"70",-2972.93986473964
"71",-2971.86907694121
"72",-2967.69602347425
"73",-2972.6032509783
"74",-2968.03226902921
"75",-2970.08056689196
"76",-2969.58307858263
"77",-2973.61613321019
"78",-2969.82589197644
"79",-2972.28939129998
"80",-2967.65676818859
"81",-2968.15796090666
"82",-2965.40600684383
"83",-2971.29702915126
"84",-2967.14241048
"85",-2968.884634568
"86",-2967.11543063204
"87",-2963.67562186369
"88",-2970.74946443009
"89",-2969.03008234445
"90",-2968.70515586859
"91",-2966.40597911465
