"","x"
"1",-4777.44303416681
"2",-4840.25868243054
"3",-4800.92296586195
"4",-4812.77742463801
"5",-4839.33200511852
"6",-4812.11908253485
"7",-4822.75914310508
"8",-4774.57942236274
"9",-4883.20993519949
"10",-4847.27599007764
"11",-4170.07582421006
"12",-4132.84384047204
"13",-4103.06021854184
"14",-4162.12291159097
"15",-4149.99051215619
"16",-4148.20560548559
"17",-4174.51902930547
"18",-4144.34496687202
"19",-4201.56068965028
"20",-4124.93086319293
"21",-3829.08280879972
"22",-3832.73828718753
"23",-3777.17604847867
"24",-3754.69428249337
"25",-3756.59949825796
"26",-3822.18548956196
"27",-3810.22082291642
"28",-3777.80034934694
"29",-3850.68541818402
"30",-3763.63780170958
"31",-3554.55793142236
"32",-3543.46837884145
"33",-3616.99565103647
"34",-3533.12135982536
"35",-3565.92285700535
"36",-3576.39763049605
"37",-3566.9872046038
"38",-3616.38755252321
"39",-3604.45208639138
"40",-3558.2316507484
"41",-3430.2306912719
"42",-3422.81937076787
"43",-3354.55153145888
"44",-3369.71748858494
"45",-3406.38421026339
"46",-3406.58627700934
"47",-3387.40784425907
"48",-3464.28661453062
"49",-3408.64148468794
"50",-3428.38685152156
"51",-3299.74464369428
"52",-3317.87011533951
"53",-3251.58702060344
"54",-3271.1076748883
"55",-3300.22358023424
"56",-3297.6616167447
"57",-3343.24982300062
"58",-3314.14627234076
"59",-3278.19856593591
"60",-3294.46630728264
"61",-3224.18151054018
"62",-3208.75364956983
"63",-3169.53756044644
"64",-3188.96465594845
"65",-3215.31722172083
"66",-3242.25114634746
"67",-3206.13354360253
"68",-3229.32251117056
"69",-3259.65893585221
"70",-3188.59849523019
"71",-3151.06241720558
"72",-3129.04328528814
"73",-3173.40069185975
"74",-3166.82778858191
"75",-3145.17504948387
"76",-3168.31483468192
"77",-3135.13731226815
"78",-3161.67212166273
"79",-3156.66734405288
"80",-3161.69589039019
"81",-3121.98480541864
"82",-3115.12126460475
"83",-3105.53886084656
"84",-3100.04089441583
"85",-3060.94244930901
"86",-3109.38483982178
"87",-3140.87663167931
"88",-3063.2626200361
"89",-3096.09529070418
"90",-3100.66816387737
"91",-3013.48404520795
"92",-3065.09342244613
"93",-3055.03242843067
"94",-3024.42238737808
"95",-3078.71682828836
"96",-3061.2021330092
"97",-3089.59079350211
"98",-3041.49642669566
"99",-3032.79464119484
"100",-3063.7041314376
"101",-3018.03600943109
"102",-3015.77209060086
"103",-3023.67331211157
"104",-3013.86943974688
