"","x"
"1",-8105.05917038845
"2",-8201.53454656114
"3",-8033.04585648564
"4",-8068.86504892898
"5",-8087.84313590121
"6",-8119.38295214226
"7",-8307.91597661854
"8",-7988.3624653809
"9",-8151.18063864242
"10",-8121.3256372556
"11",-6772.59363753063
"12",-6799.44404319596
"13",-6771.57051362154
"14",-6489.85144283776
"15",-6512.62858163827
"16",-6656.94479370082
"17",-6941.84350878574
"18",-6825.35384345685
"19",-6776.68052479639
"20",-6461.07624274592
"21",-5892.89668733357
"22",-5768.38298328024
"23",-5739.61442784972
"24",-5559.23430903137
"25",-5838.44398650139
"26",-5776.23083512748
"27",-5571.15967208778
"28",-5663.26862756098
"29",-5573.51840299519
"30",-5890.19656088527
"31",-5031.30312489969
"32",-5243.67765123152
"33",-5123.82298581121
"34",-5058.34548165981
"35",-5082.95968308076
"36",-5083.5975655429
"37",-5120.48283162439
"38",-5058.26204910308
"39",-4983.20099676671
"40",-5107.5803985516
"41",-4661.92975121889
"42",-4689.19490458733
"43",-4526.53725276723
"44",-4730.33899181504
"45",-4676.82929602614
"46",-4507.12872759012
"47",-4828.91059108689
"48",-4575.33950126807
"49",-4711.74218364543
"50",-4627.58749978782
"51",-4178.15296193917
"52",-4231.89737671529
"53",-4235.19115011335
"54",-4332.65800265698
"55",-4183.77614681555
"56",-4321.27309704887
"57",-4127.31468527281
"58",-4307.9042217322
"59",-4359.24717542876
"60",-4176.50458502364
"61",-3943.4451143341
"62",-3934.00607952143
"63",-3894.15974174087
"64",-3902.0054282327
"65",-3937.65734611724
"66",-3880.96489519547
"67",-3948.72974299919
"68",-3957.11346219706
"69",-3986.9127004192
"70",-3942.68938661071
"71",-3830.54197846653
"72",-3585.59311682236
"73",-3773.68118130234
"74",-3706.50541416662
"75",-3829.3224508138
"76",-3910.99667559168
"77",-3750.99755913576
"78",-3691.59775646802
"79",-3759.29163471867
"80",-3734.43201033121
"81",-3713.49322482838
"82",-3443.79780168258
"83",-3571.41448011379
"84",-3709.98175342148
"85",-3531.58991274965
