"","x"
"1",-4687.98223853266
"2",-4762.15513396162
"3",-4727.97547713029
"4",-4692.49228542835
"5",-4668.33384396098
"6",-4705.76852753554
"7",-4629.9165652489
"8",-4660.39902928642
"9",-4729.80518835271
"10",-4752.68743644061
"11",-3998.6377763877
"12",-3987.72071736035
"13",-4019.58913616629
"14",-3975.99751293862
"15",-3887.10263454763
"16",-3996.39730053698
"17",-3958.90023630086
"18",-4007.25908028928
"19",-4019.86678181508
"20",-3999.76817488994
"21",-3670.97516565202
"22",-3543.70914464245
"23",-3599.88452882966
"24",-3563.75417900085
"25",-3585.869182556
"26",-3531.60967074693
"27",-3592.86171979773
"28",-3601.74127282038
"29",-3608.10634850684
"30",-3546.76643835015
"31",-3308.64163047863
"32",-3252.92283435908
"33",-3346.89865087574
"34",-3372.74501179311
"35",-3384.44915266597
"36",-3315.67943691884
"37",-3274.39247657261
"38",-3318.28046077202
"39",-3264.59050590753
"40",-3318.03801777103
"41",-3169.29825486566
"42",-3232.25085359896
"43",-3205.9595330585
"44",-3201.20004626352
"45",-3144.78425577373
"46",-3164.75997304984
"47",-3125.29764528343
"48",-3204.92203603666
"49",-3165.42030283738
"50",-3183.50544280451
"51",-3073.22256867705
"52",-3076.03281306125
"53",-3092.40150141946
"54",-2980.45230238249
"55",-3008.58735765466
"56",-3053.12964248597
"57",-3038.07902432809
"58",-3018.04079171998
"59",-3074.68819925963
"60",-3082.44624651405
"61",-3002.15817790163
"62",-2954.90103306356
"63",-2970.15333460113
"64",-2997.48457597262
"65",-2925.78952409059
"66",-2985.38934237641
"67",-2973.56386401038
"68",-2923.0450944941
"69",-2950.88574160892
"70",-2942.16265611093
"71",-2854.43977375634
"72",-2878.84371793273
"73",-2933.27593820437
"74",-2872.6592047279
"75",-2904.92627833276
"76",-2917.33674836907
"77",-2889.18511223939
"78",-2884.26447242922
"79",-2872.15317313445
"80",-2884.40687458326
"81",-2858.12390011753
"82",-2810.49795225737
"83",-2860.86191140981
"84",-2831.36955843985
"85",-2856.57738425349
"86",-2851.24126484371
"87",-2857.72230380745
"88",-2900.62275514159
"89",-2879.72950270851
"90",-2827.9018664468
"91",-2753.94650534066
"92",-2769.90817381483
"93",-2794.41328489138
"94",-2772.48544844158
"95",-2782.86915999291
"96",-2816.37916485228
"97",-2783.39399468755
"98",-2816.35286387361
"99",-2801.042954615
"100",-2779.45368658967
"101",-2711.15192762632
"102",-2721.30435082399
"103",-2746.23910591424
"104",-2764.65096974312
"105",-2767.22481674461
"106",-2745.99753262613
"107",-2773.97686419574
"108",-2738.9024242705
"109",-2721.8246995767
"110",-2774.93842864879
"111",-2726.05905606099
"112",-2699.47361576884
"113",-2734.50391590635
"114",-2711.50900577248
"115",-2725.40637527085
"116",-2748.4647188571
"117",-2739.86569980489
"118",-2714.39150604739
"119",-2728.18507169134
"120",-2699.81763813867
"121",-2693.91655620121
"122",-2710.83873553725
"123",-2654.35559750648
"124",-2705.15574526299
"125",-2698.49007616929
"126",-2710.55467647399
"127",-2686.01925142585
"128",-2691.57805410733
"129",-2682.75112842242
"130",-2679.81733533099
"131",-2701.78790817123
"132",-2677.2886653871
"133",-2663.01282291977
"134",-2681.93764322091
"135",-2673.85028237306
"136",-2676.60851278648
"137",-2695.10814010805
"138",-2654.46202745325
"139",-2636.42623835754
"140",-2667.14977516082
