"","x"
"1",-5036.38742043214
"2",-5046.3041042532
"3",-4887.73808320809
"4",-5078.19869389623
"5",-4961.30850686993
"6",-5026.13002835971
"7",-5045.89413178996
"8",-5022.17494738107
"9",-4997.1751262735
"10",-4959.81737468682
"11",-4399.80178718394
"12",-4334.59971770693
"13",-4370.73414184223
"14",-4391.84972495248
"15",-4395.34321260911
"16",-4377.39712234168
"17",-4359.72563273084
"18",-4373.13520990148
"19",-4413.38163798461
"20",-4404.22450759144
"21",-4178.37884324991
"22",-4160.72540356177
"23",-4152.34201376401
"24",-4162.0398490347
"25",-4143.63076595269
"26",-4162.3627210155
"27",-4166.48525214577
"28",-4167.83582267524
"29",-4169.36791614265
"30",-4178.45219614136
"31",-4091.01015118954
"32",-4094.82482371638
"33",-4081.49905653677
"34",-4077.86260747872
"35",-4070.60122575431
"36",-4066.38803819567
"37",-4068.76224064091
"38",-4075.84409506488
"39",-4070.84609191516
"40",-4065.02221232421
"41",-4038.78607973567
"42",-4028.1824485846
"43",-4028.60361270109
"44",-4022.98643042486
"45",-4037.57125707061
"46",-4027.12827116348
"47",-4024.647696864
"48",-4029.48214264364
"49",-4030.00202992579
"50",-4040.40236813056
"51",-3993.81887046531
"52",-3993.92987405528
"53",-3996.8380776153
"54",-4000.26139945288
"55",-4001.17281362894
"56",-3983.93224239414
"57",-3996.72525986574
"58",-4004.10567947175
"59",-4007.45814869844
"60",-4004.02249459839
"61",-3979.27067707039
"62",-3981.89295794821
"63",-3979.48034545254
"64",-3983.97350420477
"65",-3993.308682806
"66",-3982.43934679942
"67",-3981.10278381771
"68",-3978.95476975031
"69",-3983.36799606631
"70",-3971.55013608633
"71",-3973.62483894638
"72",-3964.83541161664
"73",-3979.0028445724
"74",-3976.68579029358
"75",-3969.31474331302
"76",-3975.18064814864
"77",-3968.99496856158
"78",-3967.79031451289
"79",-3965.88384010451
"80",-3972.27438428229
"81",-3966.21217171554
"82",-3965.66124497171
"83",-3966.12433660179
"84",-3963.17241535179
"85",-3967.26902597822
"86",-3963.75129160689
"87",-3968.84293256847
"88",-3966.31506582813
"89",-3963.1710190774
"90",-3964.68545139821
"91",-3964.53411085449
"92",-3961.57306843079
"93",-3965.06345482393
"94",-3963.84249396711
"95",-3968.21913244534
"96",-3965.82718105211
"97",-3963.4627307193
"98",-3963.49720502046
"99",-3965.75422711957
"100",-3967.8139533872
"101",-3962.87762438216
"102",-3960.37873368666
"103",-3961.96442085157
"104",-3961.18161492152
"105",-3965.77168720726
"106",-3964.31504327424
"107",-3966.7852890175
"108",-3962.05101682499
"109",-3964.41694876065
"110",-3964.27084867217
"111",-3963.37876997862
"112",-3962.88434456208
"113",-3970.06154376658
"114",-3964.89522025503
"115",-3966.36148522933
"116",-3964.98054838151
"117",-3963.24921440954
"118",-3961.51833102265
"119",-3964.22345745503
"120",-3958.80368096349
"121",-3962.41698384847
"122",-3967.55716176987
"123",-3962.74213135124
"124",-3966.63603793081
"125",-3965.63647212857
"126",-3968.58664952627
"127",-3964.77940971955
"128",-3965.45592748148
"129",-3966.66118350535
"130",-3965.00253258862
"131",-3964.78814652502
"132",-3970.98910322469
"133",-3970.32482951188
"134",-3970.95464650132
"135",-3966.39432573325
"136",-3968.70905025371
"137",-3970.55384722273
"138",-3970.12816559073
"139",-3966.67959173091
"140",-3968.00023342384
"141",-3971.38539157368
"142",-3970.16059747003
"143",-3969.19856207687
"144",-3971.39300892778
"145",-3971.12788592001
"146",-3973.83733189302
"147",-3972.43939302059
"148",-3968.26798067987
"149",-3970.86457943731
"150",-3974.32924351544
"151",-3975.73068332149
"152",-3974.24451620702
"153",-3972.85148966203
"154",-3975.08833359014
"155",-3974.63484758935
"156",-3973.28578975085
"157",-3974.40180014725
"158",-3975.11246982487
"159",-3972.32361045311
"160",-3973.80531995723
"161",-3976.14602283184
"162",-3981.0673930691
"163",-3976.62149531863
"164",-3975.974629057
"165",-3977.56670521573
"166",-3978.84567054444
"167",-3980.84002551798
"168",-3980.58218742984
"169",-3981.18304200527
"170",-3977.47766767242
"171",-3988.31477971712
"172",-3981.92450396148
"173",-3981.28016573814
"174",-3983.19886628763
"175",-3982.4697868224
"176",-3981.38338076091
"177",-3981.05877215319
"178",-3980.46890976549
"179",-3979.90478649746
"180",-3981.52855051343
"181",-3989.47724036624
"182",-3987.02348499959
"183",-3986.49880996339
"184",-3985.62333641584
"185",-3990.54511330976
"186",-3990.95405575545
"187",-3986.6455872536
"188",-3985.98580886894
"189",-3983.4038693002
"190",-3987.44601806681
"191",-3992.38285476649
"192",-3989.16487556993
"193",-3991.81068113815
"194",-3990.62285796238
"195",-3989.08198407632
"196",-3992.90061964956
"197",-3992.29804753871
"198",-3992.53144379849
"199",-3990.3870850651
"200",-3989.03743899086
"201",-3995.16576375501
"202",-3999.03085967994
"203",-3996.94056712583
"204",-3997.64708565158
"205",-3995.49833192782
"206",-3996.56773256681
"207",-3996.6886032616
"208",-3996.20795112489
"209",-3994.46347091783
"210",-3994.5901167554
"211",-4000.72925380098
"212",-4002.52718151843
"213",-4005.60765964152
"214",-4001.20052445948
"215",-3998.79368766267
"216",-4003.15883297921
"217",-4004.05539852653
"218",-4001.16739780022
"219",-4002.04736221772
"220",-3999.64274761136
"221",-4006.00479596912
"222",-4005.87507308546
"223",-4005.62654868942
"224",-4005.90693832351
"225",-4007.75108725174
"226",-4003.4244373618
"227",-4006.10595045288
"228",-4006.75788828417
"229",-4002.98428082516
"230",-4007.25141372195
"231",-4010.73368062803
"232",-4009.87490587761
"233",-4012.57061133071
"234",-4010.65389021712
"235",-4012.93673597169
"236",-4011.47153651132
"237",-4010.41285859902
"238",-4010.91166063261
"239",-4009.18320678496
"240",-4007.9165907008
"241",-4016.75981777298
"242",-4015.54222608032
"243",-4016.68341711733
"244",-4015.09338541088
"245",-4015.51453491216
"246",-4014.06845473822
"247",-4015.64891347152
"248",-4014.53111372554
"249",-4015.59287263472
"250",-4015.38289316249
"251",-4020.36927391386
"252",-4020.93349010344
"253",-4018.30621914108
"254",-4020.58635891928
"255",-4021.04340600334
"256",-4021.98393343999
"257",-4017.5005410891
"258",-4018.4302748348
"259",-4021.46011145707
"260",-4020.62099702995
"261",-4023.92551881307
"262",-4025.81844819158
"263",-4023.31287019107
"264",-4026.0704402698
"265",-4027.01819780272
"266",-4024.27286107362
"267",-4026.41326424187
"268",-4025.48901148677
"269",-4027.56311561028
"270",-4025.14414970358
"271",-4030.62642816651
"272",-4031.07093773574
"273",-4031.31777121239
"274",-4031.13652406061
"275",-4031.51594628936
"276",-4030.83971906654
"277",-4029.72408644278
"278",-4029.2547221853
"279",-4029.36382257313
"280",-4027.66755133912
"281",-4037.77319723603
"282",-4035.74151399959
"283",-4034.90557416801
"284",-4037.55332564566
"285",-4035.07157834842
"286",-4035.98545872713
"287",-4036.05726856847
"288",-4035.09829961294
"289",-4033.64430698894
"290",-4036.6953994175
"291",-4037.15808352631
"292",-4039.09889617322
"293",-4041.94859052795
"294",-4040.09718341169
"295",-4039.49795591737
"296",-4041.49050823038
"297",-4041.13584390481
"298",-4040.4013452578
"299",-4042.03105298707
"300",-4039.06260258157
"301",-4047.78775728132
"302",-4044.85724775456
"303",-4046.2781194632
"304",-4045.11756365032
"305",-4047.29618694719
"306",-4044.34234045277
"307",-4045.1217366312
"308",-4045.74772259129
"309",-4045.12464953102
"310",-4046.06285912286
"311",-4048.94435801204
"312",-4051.87196240505
"313",-4048.99566548596
"314",-4050.71432646019
"315",-4050.76831217107
"316",-4048.7609318535
"317",-4052.66255965271
"318",-4050.78253402423
"319",-4049.35435699092
"320",-4052.58985533369
"321",-4053.35572612437
"322",-4055.01656336272
"323",-4056.26534460551
"324",-4054.67173088477
"325",-4053.86218287547
"326",-4055.52513900839
"327",-4056.21655676377
"328",-4055.97770221942
"329",-4056.37587370094
"330",-4054.955801238
"331",-4060.29193400118
"332",-4058.68264502532
"333",-4061.39369018882
"334",-4059.73241034516
"335",-4062.10080529565
"336",-4059.63812379294
"337",-4060.08690112313
"338",-4060.39263147517
"339",-4060.47582515095
"340",-4058.88658149091
"341",-4068.43247083441
"342",-4064.26379854995
"343",-4067.33215164948
"344",-4064.4770979143
"345",-4066.1614133827
"346",-4066.92646167444
"347",-4064.36644368284
"348",-4063.97312373127
"349",-4068.05860468419
"350",-4066.03436916084
"351",-4066.8132808204
"352",-4071.93829286678
"353",-4070.88206833926
"354",-4069.93950028055
"355",-4070.16297935426
"356",-4068.0119588963
"357",-4070.11981567178
"358",-4072.83871065664
"359",-4070.5815798086
"360",-4070.3162924065
"361",-4075.34375175014
"362",-4075.15840567493
"363",-4074.39511419474
"364",-4074.5803931997
"365",-4075.59979146523
"366",-4074.4252062017
"367",-4074.62996789207
"368",-4075.11222532527
"369",-4074.89238973654
"370",-4075.12345454147
"371",-4079.22437244504
"372",-4080.91436957194
"373",-4080.15111557847
"374",-4078.93934035363
"375",-4080.45085527669
"376",-4079.68448530278
"377",-4080.74913428767
"378",-4082.12061486018
"379",-4078.35743101227
"380",-4080.65586213257
"381",-4084.95066788749
"382",-4084.16216967723
"383",-4082.98376197711
"384",-4085.30812254234
"385",-4086.9130061702
"386",-4083.03927888716
"387",-4085.32054778013
"388",-4087.2686097038
"389",-4087.18509630244
"390",-4085.64682418585
"391",-4088.50536089852
"392",-4090.65856844827
"393",-4089.40823585588
"394",-4090.73929429925
"395",-4088.92710038126
"396",-4090.31828456907
"397",-4090.49511650142
"398",-4090.04924307346
"399",-4089.54855858491
"400",-4087.45844921797
"401",-4092.79952631172
"402",-4094.63113519851
"403",-4094.5952945398
"404",-4093.17951419768
"405",-4096.11043870855
"406",-4097.72591623209
"407",-4093.3543869076
"408",-4095.75800248891
"409",-4096.03628590902
"410",-4093.54397308537
"411",-4098.50656750267
"412",-4101.10050930645
