"","x"
"1",-7144.09701424224
"2",-7015.1629387678
"3",-7056.94610046676
"4",-7115.24805397867
"5",-7070.81684797227
"6",-7006.96427124323
"7",-7121.19099609922
"8",-7128.86156829275
"9",-7049.9814689365
"10",-7078.62430597209
"11",-6320.23381078893
"12",-6304.83610764798
"13",-6304.71732220013
"14",-6398.32668052442
"15",-6335.83300330254
"16",-6251.21038460042
"17",-6336.79012327604
"18",-6261.53203340009
"19",-6293.08744580673
"20",-6225.4310690196
"21",-5829.1205897991
"22",-5964.61580513609
"23",-5918.31830838677
"24",-5902.18799971665
"25",-5848.0145434249
"26",-5942.74229980848
"27",-5930.50415562879
"28",-5910.50834077153
"29",-5841.41691125412
"30",-5814.63493022843
"31",-5655.29957185361
"32",-5581.2234983093
"33",-5628.1670259892
"34",-5523.88863203925
"35",-5621.51176056226
"36",-5606.82510505864
"37",-5619.79221110271
"38",-5629.09391993457
"39",-5613.40045284071
"40",-5586.21900081934
"41",-5462.67027262219
"42",-5350.96854293777
"43",-5364.51524780435
"44",-5356.17586573575
"45",-5407.10902446827
"46",-5385.1859792869
"47",-5406.48149141864
"48",-5388.32925472197
"49",-5346.67076033725
"50",-5392.81895071213
"51",-5223.52270622504
"52",-5200.61858766718
"53",-5232.72324035578
"54",-5221.42809330895
"55",-5197.33598132992
"56",-5232.87169205231
"57",-5214.14681982497
"58",-5219.00036707453
"59",-5288.17199168579
"60",-5210.17010563013
"61",-5073.21082041521
"62",-5116.13202103367
"63",-5107.89058212606
"64",-5097.00485023695
"65",-5116.85377966086
"66",-5070.4084944644
"67",-5101.65753661636
"68",-5142.78040366814
"69",-5129.9107659491
"70",-5083.06646200063
"71",-5038.54814017777
"72",-4996.42674738652
"73",-5068.99950178827
"74",-5016.20872030918
"75",-5045.93531129682
"76",-4963.74376648804
"77",-5018.64461005215
"78",-5010.89757305608
"79",-5024.02451228269
"80",-4986.98033181871
"81",-4928.57675979564
"82",-4906.41295125457
"83",-4961.48006178836
"84",-4950.29725211744
"85",-4840.68008369444
"86",-4937.14245646622
"87",-4970.33137282731
"88",-4937.77066248575
"89",-4914.27654209593
"90",-4957.40163646195
"91",-4889.84084918274
"92",-4911.19027673078
"93",-4861.57336465643
"94",-4896.28457951542
"95",-4861.18869652504
"96",-4827.00617502422
"97",-4882.57799026198
"98",-4888.96613088587
"99",-4893.76559646488
"100",-4861.07668228373
"101",-4796.98044907233
"102",-4812.10861120615
"103",-4781.95202314959
"104",-4787.45143203285
"105",-4808.7410087996
"106",-4792.99125972072
"107",-4788.92236041253
"108",-4797.56284100136
"109",-4812.48855678541
"110",-4803.74475108329
"111",-4733.28880529109
"112",-4745.47288529958
"113",-4755.52540280145
"114",-4761.54333499427
"115",-4763.98476537677
"116",-4750.21378665173
"117",-4733.92436689385
"118",-4738.86168587589
"119",-4789.18918443459
"120",-4802.27250102476
"121",-4719.21130595769
"122",-4697.1475964644
"123",-4733.58009061559
"124",-4686.22247429003
"125",-4695.8518825854
"126",-4668.47568337343
"127",-4707.73887894175
"128",-4715.71831193494
"129",-4649.24259819988
"130",-4732.11079938383
"131",-4632.26714146406
"132",-4675.77346239865
"133",-4698.74247747829
"134",-4644.46911319284
"135",-4685.15071405717
"136",-4705.10227571657
"137",-4646.74469682968
"138",-4616.90973720306
"139",-4706.87233138512
"140",-4653.94328085577
"141",-4649.88947591132
"142",-4610.45573071911
"143",-4597.76571440429
"144",-4675.78566101525
"145",-4683.16195291031
"146",-4624.56322618183
"147",-4646.93338982992
"148",-4644.56797089047
"149",-4633.37466994657
"150",-4585.1851268408
"151",-4614.90383326094
"152",-4599.38859072593
"153",-4643.72144950758
"154",-4586.9596084126
"155",-4609.88552383669
"156",-4582.07657397381
"157",-4586.38395004232
"158",-4632.31113787215
"159",-4603.48840654315
"160",-4611.4885365374
"161",-4585.92607965365
"162",-4644.04429183105
"163",-4564.59136401927
"164",-4597.78403666531
"165",-4560.14580327032
"166",-4619.79548125928
"167",-4603.46729787363
"168",-4616.73153233456
"169",-4562.30987555274
"170",-4517.55092447404
"171",-4560.31388275272
"172",-4537.17184418893
"173",-4572.16130255686
"174",-4534.01678078413
"175",-4562.15009890451
"176",-4579.59646693088
"177",-4570.2899748138
"178",-4596.55607752077
"179",-4563.75939521001
"180",-4574.8373546184
"181",-4549.13809443796
"182",-4540.6569962096
"183",-4512.0926174886
"184",-4541.69676680139
"185",-4524.99567780167
"186",-4542.17083072149
"187",-4528.59739711911
"188",-4557.96921162119
"189",-4547.34028909027
"190",-4529.37516004147
"191",-4542.27381059415
"192",-4513.85851896345
"193",-4533.77501739598
"194",-4549.92024191119
"195",-4501.98443502497
"196",-4505.06287518348
"197",-4521.28242293824
"198",-4546.89418032851
"199",-4535.56131647801
"200",-4543.2020938881
"201",-4507.85629061513
"202",-4533.32887679843
"203",-4549.53691153401
"204",-4523.19632717427
"205",-4519.86379382668
"206",-4510.69418632647
"207",-4541.8360799749
"208",-4512.92786642457
"209",-4496.6585052328
"210",-4488.31047022911
"211",-4476.21590052371
"212",-4482.26133291104
"213",-4444.0239593763
"214",-4469.69560972331
"215",-4478.01352307392
"216",-4495.21646768165
"217",-4484.59585734468
"218",-4470.85894338771
"219",-4486.7776850412
"220",-4457.97872499659
"221",-4449.19081067195
"222",-4450.45417918466
"223",-4517.55768810414
"224",-4457.32315935984
"225",-4474.875512057
"226",-4478.41254674544
"227",-4439.44094250467
"228",-4456.04514053271
"229",-4443.40625063549
"230",-4481.75904048909
"231",-4437.55852055319
"232",-4480.48275404067
"233",-4455.24531346394
"234",-4455.76509854683
"235",-4439.62251533393
"236",-4447.85324236086
"237",-4458.28601063634
"238",-4461.17436907228
"239",-4461.0807304589
"240",-4464.19058100771
"241",-4433.42578503661
"242",-4441.30290470249
"243",-4453.17750406882
"244",-4432.82822757278
