"","x"
"1",-3357.17584533468
"2",-3368.10004682514
"3",-3367.5761950264
"4",-3355.87060163577
"5",-3365.05769433536
"6",-3367.67742045076
"7",-3379.13775580043
"8",-3359.86736352303
"9",-3360.4164637831
"10",-3369.6465716082
"11",-3272.890859395
"12",-3261.34867836586
"13",-3267.3126694349
"14",-3265.86155846763
"15",-3269.10174697632
"16",-3265.21995611409
"17",-3263.57970866793
"18",-3262.39722344754
"19",-3271.15938354655
"20",-3275.48040492024
"21",-3224.54752015624
"22",-3225.48169294285
"23",-3218.52992312331
"24",-3223.08040604877
"25",-3229.33753895237
"26",-3221.9883378369
"27",-3229.20619820147
"28",-3224.71844260265
"29",-3219.70856323437
"30",-3221.04873827122
"31",-3205.99523015182
"32",-3201.93807326975
"33",-3203.73539248267
"34",-3202.44247331302
"35",-3212.0199787338
"36",-3205.31277419523
"37",-3208.19372443488
"38",-3201.68007349635
"39",-3204.68629099777
"40",-3208.03212182767
"41",-3194.49361446298
"42",-3200.44029477625
"43",-3191.94625081156
"44",-3195.74823252967
"45",-3196.2715346643
"46",-3193.93866694015
"47",-3194.56323230308
"48",-3195.6107800541
"49",-3192.97022005162
"50",-3194.73815914505
"51",-3190.45825143465
"52",-3190.87870679564
"53",-3191.71001389722
"54",-3190.10714761923
"55",-3191.25560467997
"56",-3191.78481446246
"57",-3187.78857803351
"58",-3189.47279467664
"59",-3188.05838246287
"60",-3189.70854395696
"61",-3187.23645929261
"62",-3190.2910897558
"63",-3186.9180989765
"64",-3189.08785647075
"65",-3186.04330811429
"66",-3189.38310451745
"67",-3186.79522779086
"68",-3188.82984862167
"69",-3188.24618551511
"70",-3186.95509500876
"71",-3189.49443003958
"72",-3188.16188949939
"73",-3186.92919658905
"74",-3188.76776455839
"75",-3189.5529656894
"76",-3189.2265057432
"77",-3188.76093458743
"78",-3189.52726013202
"79",-3187.84933117531
"80",-3188.87539775136
"81",-3188.5182850834
"82",-3189.48373785694
"83",-3190.26272044178
"84",-3189.51879661737
"85",-3190.71926136349
"86",-3189.62910123129
"87",-3189.25807635495
"88",-3187.86345209201
"89",-3188.91984927548
"90",-3187.66435767162
"91",-3191.09280062723
"92",-3192.54762643952
"93",-3190.46482955852
"94",-3191.85437456899
"95",-3191.94448753226
"96",-3191.50830331388
"97",-3190.41643035431
"98",-3191.87157815096
"99",-3193.04042171602
"100",-3191.46522111241
"101",-3194.66187935766
"102",-3195.98976282674
"103",-3194.37353243886
"104",-3193.7394141382
"105",-3194.99658445221
"106",-3195.00061186144
"107",-3193.86200639422
"108",-3193.95785928393
"109",-3195.71096667596
"110",-3195.52362136422
"111",-3200.32178969646
"112",-3199.45680614866
"113",-3199.54354393595
"114",-3199.02274151803
"115",-3196.64847512633
"116",-3199.3572580456
"117",-3198.651212277
"118",-3197.45259483253
"119",-3197.28759575199
"120",-3198.17609266396
"121",-3201.45054903812
"122",-3203.5710444336
"123",-3203.06992655645
"124",-3199.87623765754
"125",-3201.60628685513
"126",-3203.53319862523
"127",-3202.54849333058
"128",-3202.2030570185
"129",-3202.65583001384
"130",-3202.30626320326
"131",-3204.13295248829
"132",-3206.31859518796
"133",-3205.9880589362
"134",-3204.69511484034
"135",-3205.1957986711
"136",-3206.60369010024
"137",-3204.58502810994
"138",-3207.22098977653
"139",-3206.60810219891
"140",-3204.62860687319
"141",-3209.65694739619
"142",-3210.35887541678
"143",-3209.40413558562
"144",-3211.2272195474
"145",-3210.41285328086
"146",-3210.59426122222
"147",-3211.29801533812
"148",-3209.20323071207
"149",-3210.18285139801
"150",-3209.64162635209
"151",-3213.50734074923
"152",-3215.18240223675
"153",-3213.94468246844
"154",-3215.73891206771
"155",-3214.28112932033
"156",-3214.26545477645
"157",-3213.65985418891
"158",-3213.94261214119
"159",-3213.26279302564
"160",-3215.63171573897
"161",-3218.25633334593
"162",-3218.59437314336
"163",-3220.05049448178
"164",-3218.87606011521
"165",-3218.41129928026
"166",-3218.34975754845
"167",-3219.09051633442
"168",-3216.31008095014
"169",-3219.41863195008
"170",-3217.28025548912
"171",-3222.81473300962
"172",-3223.66563460945
"173",-3223.83713490221
"174",-3225.23772436959
"175",-3222.49408751893
"176",-3221.4716619784
"177",-3223.1980963895
"178",-3221.78004511083
"179",-3222.96303652579
"180",-3222.06555589151
"181",-3226.64317552008
"182",-3228.1522391443
"183",-3228.86892556601
"184",-3228.48483980558
"185",-3229.23865606464
"186",-3227.21221464067
"187",-3225.68205011011
"188",-3228.00756527789
"189",-3228.73131198492
"190",-3228.94553007754
