"","x"
"1",-4872.23907589557
"2",-4814.1944219826
"3",-4742.95252102407
"4",-4811.22694856147
"5",-4754.60402481228
"6",-4851.75275578076
"7",-4810.45547154506
"8",-4788.67388281062
"9",-4757.11405344005
"10",-4804.75447694197
"11",-4277.94309077318
"12",-4274.57014065566
"13",-4298.4955929311
"14",-4282.4335376888
"15",-4287.56902213466
"16",-4275.88839926781
"17",-4305.29277405571
"18",-4275.09828487889
"19",-4278.85098779198
"20",-4334.60450701362
"21",-4099.12779038614
"22",-4091.36080928972
"23",-4107.68740409541
"24",-4094.10437868235
"25",-4092.83102159713
"26",-4134.94408036761
"27",-4066.83527097706
"28",-4089.04758137011
"29",-4072.82884938844
"30",-4091.42892978867
"31",-4011.83272694109
"32",-3987.62844152344
"33",-4008.13311795042
"34",-3990.19811579771
"35",-3976.7279557968
"36",-3972.79379388738
"37",-4004.01728245456
"38",-4002.6004269618
"39",-3991.90095639678
"40",-3987.06358433871
"41",-3938.2784338839
"42",-3953.4110813243
"43",-3957.56649139128
"44",-3944.71880458202
"45",-3947.85648531366
"46",-3954.5320260171
"47",-3923.22024199027
"48",-3951.99016785979
"49",-3929.13967601064
"50",-3923.42156626981
"51",-3892.95147382481
"52",-3924.32353028395
"53",-3890.08202557749
"54",-3901.97907728822
"55",-3921.19100004873
"56",-3913.18854529625
"57",-3900.67847704282
"58",-3906.81630678858
"59",-3904.28780535589
"60",-3902.33504681936
"61",-3883.02717816521
"62",-3891.81499895206
"63",-3876.7734768051
"64",-3887.38428071231
"65",-3900.44585924877
"66",-3900.37611609731
"67",-3877.55689218528
"68",-3887.35817551478
"69",-3888.49645194292
"70",-3885.40362828386
"71",-3858.17647569453
"72",-3885.54286353113
"73",-3863.89856853346
"74",-3854.77796060271
"75",-3859.18806641538
"76",-3885.55311679395
"77",-3867.38061445647
"78",-3879.25472153513
"79",-3865.22444879557
"80",-3873.60757617792
"81",-3866.94391637903
"82",-3862.35547745877
"83",-3862.26404450946
"84",-3866.86186981462
"85",-3857.25206592201
"86",-3861.11447791339
"87",-3886.16170592956
"88",-3865.66323658814
"89",-3865.77785705957
"90",-3854.61564234761
"91",-3861.93465092621
"92",-3853.82105345729
"93",-3843.14080847803
"94",-3849.74541356404
"95",-3850.56048620792
"96",-3852.40964686246
"97",-3853.93467712413
"98",-3852.42617300079
"99",-3854.97464149521
"100",-3855.27236773171
"101",-3852.05308066173
"102",-3860.06639434307
"103",-3851.17721374823
"104",-3858.65605328455
"105",-3849.26554493368
"106",-3846.91375598067
"107",-3864.31369398175
"108",-3856.16772493196
"109",-3844.26201326636
"110",-3851.95737604119
"111",-3841.81492446114
"112",-3844.95058931926
"113",-3853.59715154734
"114",-3833.13597409875
"115",-3848.42763702038
"116",-3853.00017434026
"117",-3851.7248958946
"118",-3857.87940963144
"119",-3846.85801548209
"120",-3852.88520446965
"121",-3838.75219342299
"122",-3850.86726959584
"123",-3848.62504178467
"124",-3845.00070063943
"125",-3842.23599477077
"126",-3851.95203192651
"127",-3838.74864319316
"128",-3843.34466754737
"129",-3851.84929374576
"130",-3854.60319869035
"131",-3841.97852449806
"132",-3836.38068420301
"133",-3848.63214041711
"134",-3851.76936231478
"135",-3840.21915165623
"136",-3858.45313938512
"137",-3841.34833810926
"138",-3844.2445847475
"139",-3855.55262602996
"140",-3843.02029605171
"141",-3849.63422952913
"142",-3838.91007035653
"143",-3858.3762997668
"144",-3849.33274094036
"145",-3850.82937491663
"146",-3849.84695415669
"147",-3846.6920745364
"148",-3842.35356306048
"149",-3853.21702876023
"150",-3855.49400898568
"151",-3862.21922005498
"152",-3851.52830956882
"153",-3845.1668100582
"154",-3850.40289361083
"155",-3839.9587548906
"156",-3841.59117117171
"157",-3846.26872503057
"158",-3849.30858073236
"159",-3845.94491009835
"160",-3841.51306659781
"161",-3840.59245752912
"162",-3845.5659909814
"163",-3857.70075944555
"164",-3842.05480009394
"165",-3842.25205682101
"166",-3846.97136107675
"167",-3846.91902816324
"168",-3850.86011523172
"169",-3853.38520630621
"170",-3841.32444120649
"171",-3851.78393615478
"172",-3854.46058892243
"173",-3858.4248092173
"174",-3857.84889882773
"175",-3851.21117841415
"176",-3854.44711189199
"177",-3856.16452940511
"178",-3850.1590010855
"179",-3850.2536439895
"180",-3848.09968517884
"181",-3844.91300932521
"182",-3848.99124295666
"183",-3855.69343191146
"184",-3855.68356817758
"185",-3859.36319910486
"186",-3847.28552640676
"187",-3852.85974183803
"188",-3855.86440846304
"189",-3859.28644558168
"190",-3847.96906331796
"191",-3855.49281777962
"192",-3855.38729092094
"193",-3858.98928150715
"194",-3872.14038240022
"195",-3860.75893473466
"196",-3858.34110083076
"197",-3856.41501598334
